"timeindex" "Y" "nsmY" "x" "y"
189 -0.928785351860916 -0.0597059910254302 189 -0.869079360835486
190 -1.09213077830076 -0.225201619887813 190 -0.866929158412947
191 -0.973683019302116 -0.108910927093323 191 -0.864772092208793
192 -1.10561025661496 -0.24300128611555 192 -0.862608970499409
193 -0.815393025385018 0.0450458962548815 193 -0.8604389216399
194 -0.993343448228777 -0.135080978154124 194 -0.858262470074653
195 -1.11067465805345 -0.254594928848831 195 -0.856079729204619
196 -1.0541770399761 -0.200286714425975 196 -0.853890325550124
197 -0.822103552117608 0.0295907855156428 197 -0.851694337633251
198 -1.04366070756646 -0.194168585272432 198 -0.849492122294028
199 -1.00945121841811 -0.162167601319771 199 -0.847283617098339
200 -1.04102907709719 -0.19596067007954 200 -0.84506840701765
201 -0.943817524890781 -0.100971237451938 201 -0.842846287438843
202 -1.10728424545324 -0.266665874885654 202 -0.840618370567586
203 -0.940539013609487 -0.102155697522008 203 -0.838383316087479
204 -0.879805617547111 -0.0436636861022748 204 -0.836141931444836
205 -0.817655222134857 0.0162387426704421 205 -0.833893964805299
206 -0.791091322154727 0.040548641190137 206 -0.831639963344864
207 -0.83748119683519 -0.00810156494137493 207 -0.829379631893815
208 -1.01696005535078 -0.189847820204967 208 -0.827112235145813
209 -0.997182184853288 -0.172343862179215 209 -0.824838322674073
210 -0.806021531732927 0.0165363998223179 210 -0.822557931555245
211 -0.902092640645678 -0.0818213333258405 211 -0.820271307319837
212 -0.90287653959946 -0.0848985500748718 212 -0.817977989524588
213 -0.844588852846542 -0.0289106048260871 213 -0.815678248020455
214 -0.863364347210241 -0.0499919384317529 214 -0.813372408778488
215 -0.787740222829569 0.02331982083408 215 -0.811060043663649
216 -1.06160568168269 -0.252864467786651 216 -0.808741213896039
217 -0.844156381868672 -0.0377404955023022 217 -0.80641588636637
218 -0.888770470092584 -0.0846862846933484 218 -0.804084185399236
219 -0.892606204092657 -0.0908599228811752 219 -0.801746281211482
220 -0.97529532476384 -0.175893364826362 220 -0.799401959937478
221 -0.877437188757533 -0.0803861081587481 221 -0.797051080598785
222 -1.02382598304736 -0.229132463237285 222 -0.794693519810075
223 -0.822516614509394 -0.030187094029701 223 -0.792329520479693
224 -0.841796240052341 -0.0518372524174388 224 -0.789958987634902
225 -0.764935497229698 0.0226467904310498 225 -0.787582287660748
226 -0.971547943935806 -0.18634853380863 226 -0.785199410127176
227 -0.926064655171191 -0.143255045404023 227 -0.782809609767168
228 -0.833345229604737 -0.0529314336682035 228 -0.780413795936533
229 -0.786476430637569 -0.00846488026921899 229 -0.77801155036835
230 -0.770050677377431 0.00555258527610392 230 -0.775603262653535
231 -0.821318764278912 -0.0481303844156937 231 -0.773188379863218
232 -0.828674530932626 -0.057907445134146 232 -0.77076708579848
233 -0.791096182615592 -0.0227572465801218 233 -0.76833893603547
234 -0.891742791855302 -0.125837799568522 234 -0.76590499228678
235 -0.78999988195194 -0.0265353517095163 235 -0.763464530242424
236 -0.979808725677955 -0.218790923783116 236 -0.761017801894839
