"t","value1","value2"
202,-0.158196663162102,-0.158196663162102
203,0.00562964564315527,0.00562964564315527
204,0.0634414805255646,0.0634414805255646
205,0.122667670546518,0.122667670546518
206,0.146304714854151,0.146304714854151
207,0.0969853281501314,0.0969853281501314
208,-0.0854257048099369,-0.0854257048099369
209,-0.0685826772477082,-0.0685826772477082
210,0.119640458376742,0.119640458376742
211,0.0206291513375698,0.0206291513375698
212,0.016902367556994,0.016902367556994
213,0.0722444767128823,0.0722444767128823
214,0.050520705912055,0.050520705912055
215,0.123193848945638,0.123193848945638
216,-0.153625302234396,-0.153625302234396
217,0.0608675882030216,0.0608675882030216
218,0.0132943674829604,0.0132943674829604
219,0.00649677179732622,0.00649677179732622
220,-0.0791569458186929,-0.0791569458186929
221,0.0157338519136404,0.0157338519136404
222,-0.133625028049161,-0.133625028049161
223,0.0647115013469683,0.0647115013469683
224,0.0424562771234585,0.0424562771234585
225,0.11633865565695,0.11633865565695
226,-0.0932549270167603,-0.0932549270167603
227,-0.0507555519680617,-0.0507555519680617
228,0.0389771760642991,0.0389771760642991
229,0.0828572249545507,0.0828572249545507
230,0.0962928959750848,0.0962928959750848
231,0.0420333722586228,0.0420333722586228
232,0.0316847918018612,0.0316847918018612
233,0.0662689269150916,0.0662689269150916
234,-0.0373733173418679,-0.0373733173418679
235,0.0613725133181096,0.0613725133181096
236,-0.131434876290115,-0.131434876290115
237,0.0199171371900766,0.0199171371900766
238,-0.0635069866259819,-0.0635069866259819
239,0.0634726697239905,0.0634726697239905
240,-0.0433281882080601,-0.0433281882080601
241,0.0443443362522419,0.0443443362522419
242,0.081394397329472,0.081394397329472
243,-0.0817959727968136,-0.0817959727968136
244,0.118975231908584,0.118975231908584
245,-0.0859131914876281,-0.0859131914876281
246,-0.055301742809806,-0.055301742809806
247,0.143235508726425,0.143235508726425
248,0.00311843142460377,0.00311843142460377
249,0.08505618241942,0.08505618241942
250,-0.0735279008837634,-0.0735279008837634
251,-0.0501027806677868,-0.0501027806677868
252,-0.0370828910205445,-0.0370828910205445
253,-0.0447049948263319,-0.0447049948263319
254,0.0505865945450553,0.0505865945450553
255,0.0949252987209227,0.0949252987209227
256,0.115112615128596,0.115112615128596
257,-0.00390431055498142,-0.00390431055498142
258,-0.0504423424852478,-0.0504423424852478
259,0.113547027295137,0.113547027295137
260,-0.0237831904975211,-0.0237831904975211
261,-0.0461279223186822,-0.0461279223186822
262,-0.137591646190326,-0.137591646190326
263,-0.113784659846984,-0.113784659846984
264,-0.104539396617074,-0.104539396617074
265,-0.167608764161057,-0.167608764161057
266,0.0586960885058361,0.0586960885058361
267,-0.15937054242449,-0.15937054242449
268,0.0547093304639991,0.0547093304639991
269,0.238513941586123,0.238513941586123
270,-0.0116919787631472,-0.0116919787631472
271,-0.00614077465923735,-0.00614077465923735
272,0.190629011688232,0.190629011688232
273,0.0559721592171115,0.0559721592171115
274,-0.0639179912641837,-0.0639179912641837
275,0.0422619706777664,0.0422619706777664
276,-0.00402136465275071,-0.00402136465275071
277,-0.0831798995941772,-0.0831798995941772
278,-0.0123367371521678,-0.0123367371521678
279,0.216822356321184,0.216822356321184
280,0.0780330472586913,0.0780330472586913
281,0.011101096622797,0.011101096622797
282,0.0757098237659538,0.0757098237659538
283,0.0714162114902674,0.0714162114902674
284,0.126984381315609,0.126984381315609
285,0.131216619353619,0.131216619353619
286,0.224407017407411,0.224407017407411
287,-0.0849320536949482,-0.0849320536949482
288,-0.169507763503519,-0.169507763503519
289,-0.0180411126777484,-0.0180411126777484
290,-0.0108784657995153,-0.0108784657995153
291,0.227076797268087,0.227076797268087
292,0.117975694779507,0.117975694779507
293,0.0956178076772332,0.0956178076772332
294,0.048109276566726,0.048109276566726
295,0.00636128124064761,0.00636128124064761
296,-0.0819742802385363,-0.0819742802385363
297,-0.166795862446929,-0.166795862446929
298,0.214347343774057,0.214347343774057
299,-0.0212333156991121,-0.0212333156991121
300,0.0734917163282518,0.0734917163282518
301,0.0171292640678722,0.0171292640678722
302,-0.0687577276198724,-0.0687577276198724
303,0.0875004057688616,0.0875004057688616
304,0.0576364205665207,0.0576364205665207
305,0.0987633060214073,0.0987633060214073
306,0.167163294681735,0.167163294681735
307,-0.0644586008150014,-0.0644586008150014
308,0.161051533259361,0.161051533259361
309,-0.0301415880369303,-0.0301415880369303
310,0.200706151337753,0.200706151337753
311,0.0220055987246147,0.0220055987246147
312,0.0412596703209787,0.0412596703209787
313,-0.0263911859382741,-0.0263911859382741
314,-0.0983038522548652,-0.0983038522548652
315,0.0628940086089099,0.0628940086089099
316,0.228809159357564,0.228809159357564
317,0.0742320851795915,0.0742320851795915
318,0.125378962762303,0.125378962762303
319,-0.0683788715800359,-0.0683788715800359
320,0.00829423810205099,0.00829423810205099
321,0.0678647833715678,0.0678647833715678
322,-0.00125419799853899,-0.00125419799853899
323,-0.0376680148604588,-0.0376680148604588
324,-0.0554004112105945,-0.0554004112105945
325,0.166107982262846,0.166107982262846
326,-0.0153212004941644,-0.0153212004941644
327,-0.0169595365251471,-0.0169595365251471
328,-0.0576756802431935,-0.0576756802431935
329,-0.0337236384811502,-0.0337236384811502
330,-0.0357222288143898,-0.0357222288143898
331,0.125761094425916,0.125761094425916
332,0.0669096136381114,0.0669096136381114
333,0.0160458089396242,0.0160458089396242
334,0.0182846187933899,0.0182846187933899
335,-0.0441015584590799,-0.0441015584590799
336,-0.106816320823921,-0.106816320823921
337,-0.0860657343542959,-0.0860657343542959
338,0.189019048998622,0.189019048998622
339,0.178536733755842,0.178536733755842
340,-0.0933036599827148,-0.0933036599827148
341,0.0405188069203802,0.0405188069203802
342,0.022382228274621,0.022382228274621
343,-0.0166693401983906,-0.0166693401983906
344,-0.207444439169253,-0.207444439169253
345,0.0221610741831862,0.0221610741831862
346,-0.150304494641502,-0.150304494641502
347,-0.0518760348604369,-0.0518760348604369
348,-0.0184090349789593,-0.0184090349789593
349,0.131231888087548,0.131231888087548
350,0.0649280379579439,0.0649280379579439
351,0.0511187809507241,0.0511187809507241
352,0.145761932709008,0.145761932709008
353,-0.0197501349324106,-0.0197501349324106
354,0.0588915970253732,0.0588915970253732
355,0.101756844325449,0.101756844325449
356,0.0343765504833212,0.0343765504833212
357,-0.0451493726570947,-0.0451493726570947
358,0.00129791800753648,0.00129791800753648
359,-0.0343646516165989,-0.0343646516165989
360,0.0139941500511685,0.0139941500511685
361,-0.111174489656884,-0.111174489656884
362,0.0636788412742337,0.0636788412742337
363,-0.263725107361882,-0.263725107361882
364,0.194451120770326,0.194451120770326
365,0.00877685946174261,0.00877685946174261
366,-0.138375759313946,-0.138375759313946
367,0.0668836783730617,0.0668836783730617
368,-0.110697919759584,-0.110697919759584
369,-0.0565844843237869,-0.0565844843237869
370,0.00978018959535759,0.00978018959535759
371,0.00736087819852238,0.00736087819852238
372,0.191451018598219,0.191451018598219
373,0.103913555038849,0.103913555038849
374,0.0711191152761214,0.0711191152761214
375,0.0312409237040095,0.0312409237040095
376,-0.178713708957854,-0.178713708957854
377,-0.0566220827830855,-0.0566220827830855
378,0.106254807521194,0.106254807521194
379,0.0119287632479176,0.0119287632479176
380,0.0270654055170063,0.0270654055170063
381,-0.16810819873174,-0.16810819873174
382,-0.0165262450891087,-0.0165262450891087
383,-0.0648484141974905,-0.0648484141974905
384,0.0769020067573,0.0769020067573
385,0.0559024352918964,0.0559024352918964
386,0.140708444437902,0.140708444437902
387,-0.0254663704717085,-0.0254663704717085
388,-0.152495199747171,-0.152495199747171
389,-0.16095231114173,-0.16095231114173
390,-0.175135318456792,-0.175135318456792
391,0.0224433509438813,0.0224433509438813
392,0.002085190647241,0.002085190647241
393,-0.13300782368326,-0.13300782368326
394,-0.147175166290397,-0.147175166290397
395,-0.0477307054025186,-0.0477307054025186
396,0.187436771033594,0.187436771033594
397,0.082137145421399,0.082137145421399
398,0.0353458808680716,0.0353458808680716
399,-0.101893227819307,-0.101893227819307
400,0.151768502700426,0.151768502700426
401,0.116732614634651,0.116732614634651
402,-0.163155238219745,-0.163155238219745
403,-0.125930295715913,-0.125930295715913
